Date,Close,Ticker,MA for 10 days,MA for 20 days,MA for 50 days
2020-01-02,48.41999816894531,CSCO,,,
2020-01-03,47.630001068115234,CSCO,,,
2020-01-06,47.79999923706055,CSCO,,,
2020-01-07,47.4900016784668,CSCO,,,
2020-01-08,47.52000045776367,CSCO,,,
2020-01-09,47.31999969482422,CSCO,,,
2020-01-10,47.130001068115234,CSCO,,,
2020-01-13,47.970001220703125,CSCO,,,
2020-01-14,47.790000915527344,CSCO,,,
2020-01-15,48.0099983215332,CSCO,47.70800018310547,,
2020-01-16,49.04999923706055,CSCO,47.77100028991699,,
2020-01-17,49.02000045776367,CSCO,47.910000228881835,,
2020-01-21,48.79999923706055,CSCO,48.010000228881836,,
2020-01-22,49.06999969482422,CSCO,48.168000030517575,,
2020-01-23,49.0,CSCO,48.31599998474121,,
2020-01-24,48.84999847412109,CSCO,48.4689998626709,,
2020-01-27,47.470001220703125,CSCO,48.50299987792969,,
2020-01-28,47.77000045776367,CSCO,48.48299980163574,,
2020-01-29,47.04999923706055,CSCO,48.408999633789065,,
2020-01-30,47.2400016784668,CSCO,48.331999969482425,48.02000007629395,
2020-01-31,45.970001220703125,CSCO,48.02400016784668,47.89750022888184,
2020-02-03,46.52999877929688,CSCO,47.775,47.84250011444092,
2020-02-04,47.619998931884766,CSCO,47.65699996948242,47.83350009918213,
2020-02-05,48.45000076293945,CSCO,47.59500007629394,47.88150005340576,
2020-02-06,48.68999862670898,CSCO,47.56399993896484,47.939999961853026,
2020-02-07,47.970001220703125,CSCO,47.476000213623045,47.972500038146975,
2020-02-10,48.869998931884766,CSCO,47.61599998474121,48.05949993133545,
2020-02-11,49.130001068115234,CSCO,47.75200004577637,48.117499923706056,
2020-02-12,49.93000030517578,CSCO,48.04000015258789,48.22449989318848,
2020-02-13,47.31999969482422,CSCO,48.047999954223634,48.189999961853026,
2020-02-14,46.970001220703125,CSCO,48.147999954223636,48.08600006103516,
2020-02-18,46.59000015258789,CSCO,48.15400009155273,47.96450004577637,
2020-02-19,46.290000915527344,CSCO,48.02100028991699,47.839000129699706,
2020-02-20,46.84999847412109,CSCO,47.861000061035156,47.72800006866455,
2020-02-21,46.29999923706055,CSCO,47.62200012207031,47.59300003051758,
2020-02-24,44.0,CSCO,47.225,47.35050010681152,
2020-02-25,42.7400016784668,CSCO,46.6120002746582,47.114000129699704,
2020-02-26,42.15999984741211,CSCO,45.91500015258789,46.83350009918213,
2020-02-27,40.040000915527344,CSCO,44.92600021362305,46.48300018310547,
2020-02-28,39.93000030517578,CSCO,44.1870002746582,46.117500114440915,
2020-03-02,41.16999816894531,CSCO,43.60699996948242,45.877499961853026,
2020-03-03,40.040000915527344,CSCO,42.952000045776366,45.55300006866455,
2020-03-04,41.38999938964844,CSCO,42.46199989318848,45.24150009155274,
2020-03-05,39.56999969482422,CSCO,41.734000015258786,44.79750003814697,
2020-03-06,39.68000030517578,CSCO,41.072000122070314,44.34700012207031,
2020-03-09,37.959999084472656,CSCO,40.46800003051758,43.84650001525879,
2020-03-10,40.08000183105469,CSCO,40.202000045776366,43.40700016021729,
2020-03-11,37.04999923706055,CSCO,39.69099998474121,42.80300006866455,
2020-03-12,33.20000076293945,CSCO,39.00699996948242,41.96650009155273,
2020-03-13,37.63999938964844,CSCO,38.77799987792969,41.482500076293945,45.41060005187988
2020-03-16,33.709999084472656,CSCO,38.03199996948242,40.81949996948242,45.11640007019043
2020-03-17,35.5,CSCO,37.577999877929685,40.26499996185303,44.87380004882812
2020-03-18,37.119998931884766,CSCO,37.15099983215332,39.8064998626709,44.66020004272461
2020-03-19,37.709999084472656,CSCO,36.964999771118165,39.34949989318848,44.464599990844725
2020-03-20,35.599998474121094,CSCO,36.556999588012694,38.814499855041504,44.22619995117188
